Łukasz Fabiański,Bramkarz,GK,West Ham,Anglia
Jakub Stolarczyk,Bramkarz,GK,Leicester,Anglia
Kamil Dudek,Bramkarz,GK,Burton Albion,Anglia
Filip Marschall,Bramkarz,GK,Stevenage,Anglia
Mateusz Hewelt,Bramkarz,GK,Radcliffe,Anglia
Hubert Graczyk,Bramkarz,GK,Berkhamsted,Anglia
Sebastian Małkowski,Bramkarz,GK,Wombell Town,Anglia
Amadeusz Skrzyniarz,Bramkarz,GK,Lymington,Anglia
Remi Lupinski,Bramkarz,GK,Arsenal U18,Anglia
Adrian Janusz,Bramkarz,GK,Ashington FC,Anglia
Karol Krajewski,Bramkarz,GK,Blackburn U16,Anglia
Nicholas Michalski,Bramkarz,GK,Blackburn U21,Anglia
Antoni Miernik,Bramkarz,GK,Chelsea U21,Anglia
Cristiano Dzialuk,Bramkarz,GK,Derby U18,Anglia
Alex Borto,Bramkarz,GK,Fulham U21,Anglia
Kornel Miściur,Bramkarz,GK,Liverpool U21,Anglia
Fabian Mrozek,Bramkarz,GK,Liverpool U21,Anglia
Jakub Przewoźny,Bramkarz,GK,Millwall U21,Anglia
Nikodem Tkaczuk,Bramkarz,GK,Norwich U18,Anglia
Kacper Orłowski,Bramkarz,GK,Uxbridge,Anglia
Marcin Bułka,Bramkarz,GK,NEOM,Arabia Saudyjska
Juan Cruz Carranza,Bramkarz,GK,Nueva Chicago,Argentyna
Filip Kurto,Bramkarz,GK,Macarthur,Australia
Zac Bowling,Bramkarz,GK,Broadmeadow,Australia
Mateusz Zaniewski,Bramkarz,GK,Perth Azzurri SC,Australia
Alexander Michalak,Bramkarz,GK,Horn,Austria
Nazar Penkovets,Bramkarz,GK,Kitzbuhel,Austria
Lukas Scheiflinger,Bramkarz,GK,Lendorf,Austria
Christian Poterek,Bramkarz,GK,St. Polten Jugend,Austria
Mateusz Kochalski,Bramkarz,GK,Qarabag,Azerbejdżan
Kacper Rosa,Bramkarz,GK,bez klubu,Azerbejdżan
Kewin Komar,Bramkarz,GK,AEK Larnaka,Cypr
Przemysław Pęksa,Bramkarz,GK,Spartakos Kitiou,Cypr
Maciej Zając,Bramkarz,GK,Unie Hlubina,Czechy
Maksymilian Boruc,Bramkarz,GK,Helsingor,Dania
Radosław Majecki,Bramkarz,GK,Brest,Francja
Bartosz Żelazowski,Bramkarz,GK,Nicea,Francja
Nicolas Kocik,Bramkarz,GK,Le Mans,Francja
Nathan Yavorsky,Bramkarz,GK,Versailles,Francja
Teo Hamelin,Bramkarz,GK,Dinan Lehon,Francja
Joseph Ostrowski,Bramkarz,GK,Limonest,Francja
Quentin Mielcarek,Bramkarz,GK,Saint-Quentin,Francja
Artur Śmiechowski,Bramkarz,GK,Strasbourg U19,Francja
Konrad Skuza,Bramkarz,GK,Lions Gibraltar FC,Gibraltar
Maks Klugowski,Bramkarz,GK,Lions Gibraltar FC U18,Gibraltar
Wojciech Szczęsny,Bramkarz,GK,Barcelona,Hiszpania
Gregoire Swiderski,Bramkarz,GK,Alaves B,Hiszpania
Alan Andrzejewski,Bramkarz,GK,Huesca B,Hiszpania
Eryk Niemira,Bramkarz,GK,Los Llanos de Aridane,Hiszpania
Bruno Klimek,Bramkarz,GK,Betis U19,Hiszpania
Daniel Bielica,Bramkarz,GK,NAC Breda,Holandia
Filip Bednarek,Bramkarz,GK,Sparta Rotterdam,Holandia
Przemysław Tytoń,Bramkarz,GK,Twente,Holandia
Kacper Chorążka,Bramkarz,GK,Bohemian FC,Irlandia
Piotr Sławiński,Bramkarz,GK,Banbridge,Irlandia Północna
Marcel Zapytowski,Bramkarz,GK,IBV,Islandia
Robert Błąkała,Bramkarz,GK,Grindavik,Islandia
Danny El Hage,Bramkarz,GK,KFA,Islandia
Paweł Broniszewski,Bramkarz,GK,Selfoss,Islandia
Jakub Górski,Bramkarz,GK,KFK (Kopavogur),Islandia
Bartosz Matoga,Bramkarz,GK,Reynir Sandgerdi (wyp. z Njardvik),Islandia
Raz Karmi,Bramkarz,GK,Ashdod,Izrael
Karol Niemczycki,Bramkarz,GK,Ashdod,Izrael
Omer Katz,Bramkarz,GK,Hapoel Petach Tikva,Izrael
Assaf Tzur,Bramkarz,GK,Hapoel Tel Awiw,Izrael
Svend Brodersen,Bramkarz,GK,Kawasaki Frontale,Japonia
Jakub Słowik,Bramkarz,GK,Yokohama FC,Japonia
Dominic Kantorowicz,Bramkarz,GK,Toronto FC Academy,Kanada
Youn Czekanowicz,Bramkarz,GK,Marisca Mersch,Luksemburg
Aleksander Łubik,Bramkarz,GK,Tarxien Rainbows,Malta
Kamil Grabara,Bramkarz,GK,Wolfsburg,Niemcy
Marcel Lotka,Bramkarz,GK,Fortuna Dusseldorf,Niemcy
Hans Christian Bernat,Bramkarz,GK,Karlsruhe,Niemcy
Dominik Reimann,Bramkarz,GK,Magdeburg,Niemcy
Robin Lisewski,Bramkarz,GK,Nurnberg II,Niemcy
Leon-Oumar Wechsel,Bramkarz,GK,Jahn Regensburg (wyp. z Hannoveru),Niemcy
Kevin Broll,Bramkarz,GK,Wehen Wiesbaden,Niemcy
Daniel Adamczyk,Bramkarz,GK,Chemnitzer FC,Niemcy
Silas Ostrzinski,Bramkarz,GK,Dortmund II,Niemcy
Dominic Grehl,Bramkarz,GK,Dusseldorf II,Niemcy
Adrian Serowiec,Bramkarz,GK,Hankofen,Niemcy
Robert Kampa,Bramkarz,GK,Magdeburg II,Niemcy
Dennis Gorka,Bramkarz,GK,Rodinghausen,Niemcy
Alexander Michalik,Bramkarz,GK,Sonnenhof-Grossaspach,Niemcy
Jakub Zieliński,Bramkarz,GK,Wolfsburg U19,Niemcy
Albert Posiadała,Bramkarz,GK,Molde,Norwegia
Jeremi Maciej Kamecki,Bramkarz,GK,Eik Tonsberg,Norwegia
Kuba Masalski,Bramkarz,GK,Elverum,Norwegia
Cezary Miszta,Bramkarz,GK,Rio Ave,Portugalia
Hubert Charuży,Bramkarz,GK,Porto U19,Portugalia
Kevin Dąbrowski,Bramkarz,GK,Koszyce,Słowacja
Maksymilian Stryjek,Bramkarz,GK,Kilmarnock,Szkocja
Miłosz Śliwiński,Bramkarz,GK,Queen's Park,Szkocja
Szymon Rebilas,Bramkarz,GK,Inverness,Szkocja
Danar Strzelec Farag,Bramkarz,GK,Strathspey,Szkocja
Patrick Zajac,Bramkarz,GK,Kriens,Szwajcaria
Daniel Kurowski,Bramkarz,GK,Dietikon,Szwajcaria
Jan Jach,Bramkarz,GK,Yverdon Jugend,Szwajcaria
Jakub Ojrzyński,Bramkarz,GK,Orebro,Szwecja
Oliwier Oleksiewicz,Bramkarz,GK,Gute,Szwecja
Mateusz Lis,Bramkarz,GK,Goztepe,Turcja
Jakub Szumski,Bramkarz,GK,Sakaryaspor,Turcja
Damian Las,Bramkarz,GK,Austin FC,USA
Jeff Gal,Bramkarz,GK,Chicago,USA
JT Marcinkowski,Bramkarz,GK,LA Galaxy,USA
Tobias Szewczyk,Bramkarz,GK,New York Red Bulls,USA
Thomas Burchfield,Bramkarz,GK,North Texas SC,USA
Tomas Hut,Bramkarz,GK,Red Bulls II,USA
David Greczek,Bramkarz,GK,Motown FC,USA
Mikołaj Lenarcik,Bramkarz,GK,Elon Phoenix,USA
Marc Popów,Bramkarz,GK,KC Roos,USA
Daniel Polakowski,Bramkarz,GK,Manhattan Jaspers,USA
Patryk Los,Bramkarz,GK,Michigan Wolverines,USA
Alan Rutkowski,Bramkarz,GK,North Carolina Tar Heels,USA
Jakub Grzesiak,Bramkarz,GK,Oral Roberts,USA
Dawid Szczepaniak,Bramkarz,GK,Flint Town,Walia
Jakub Nowak,Bramkarz,GK,Swansea U18,Walia
Oliver Karolak,Bramkarz,GK,TNS Development,Walia
Łukasz Skorupski,Bramkarz,GK,Bologna,Włochy
Piotr Pardel,Bramkarz,GK,Atalanta U23,Włochy
Jakub Greliak,Bramkarz,GK,Athletic Palermo,Włochy
Antoni Wodzicki,Bramkarz,GK,Nocerina,Włochy
Franciszek Olszewski,Bramkarz,GK,Nola,Włochy
Radosław Żelezny,Bramkarz,GK,Roma U23,Włochy
Karol Góralczyk,Bramkarz,GK,Torino U17,Włochy
Dawid Nowicki,Bramkarz,GK,Hoyvik,Wyspy Owcze